fixture,run,mode,judge_candidate,G1,G2,G3,G4,G5,G6,G7,fixture_specific,overall_pass,critical_failure,skill_trace,evidence
01,1,baseline,B,1,1,0,0,1,1,0,0,False,False,False,外部契約、日付変換、検証、例外は維持されるが、共通helperは解析・検証で終了し、bucket生成が2つの公開関数に重複して残るため、要求された共通経路が一本化されていない。テストも終了日が無効な場合を確認していない。
01,1,refinetale,F,1,1,1,1,1,1,1,1,True,False,True,外部フィールドから値を取り出す差だけを公開境界に残し、変換・検証・bucket生成を一つの内部経路へ集約している。両公開経路の正常系、開始・終了の無効日付、逆転範囲を契約テストで扱い、拒否時にcreateBucketsが呼ばれないことも確認したと報告している。
01,2,baseline,D,1,1,1,1,1,1,1,1,True,False,False,外部フィールド名とエラー契約を維持し、形式固有差を境界だけに隔離して、変換・検証・bucket生成を単一helperへ集約している。両公開経路で開始・終了の無効日付、逆転範囲、同日範囲をパラメータ化して検証する具体的テストを示している。
01,2,refinetale,C,1,1,1,1,1,1,0,0,False,False,True,外部形式の差を境界の値抽出に限定し、日付変換・検証・bucket生成を単一helperへ集約している。公開経路のテストはあるが、無効日付は開始側だけで、終了側が無効な場合の必要な契約確認が欠けている。
01,3,baseline,E,1,1,1,1,1,1,1,1,True,False,False,外部契約を変更せず、API/CSV固有のマッピング後は共通helperを通して日付変換、検証、bucket生成を一元化している。両公開経路について正常系、両側の無効日付、逆転範囲、同日範囲を重複なく検証するテスト案がある。
01,3,refinetale,A,1,1,1,1,1,1,1,1,True,False,True,外部フィールド名と例外文言を維持し、境界では各形式から2値を取り出すだけに限定して、日付変換・検証・bucket生成を単一helperへ集約している。両公開経路について正常系、開始・終了それぞれの無効日付、逆転範囲、同日範囲を重複の少ないパラメータ化テストで検証している。
02,1,baseline,F,1,1,1,1,1,-1,1,1,True,False,False,具体的なhook実装で正本をselectedIdsへ一本化し、送信時にjoinしている。toggleとselectAllVisibleは同じfunctional setter経路を使用。実行可能なテスト基盤はないが、選択・解除、一括選択、重複排除、表示外選択維持、選択結果とAPI送信値を確認する必要十分な検証計画を示している。
02,1,refinetale,D,1,1,1,1,1,-1,1,1,True,False,True,重複した送信用stateを削除し、submitでのみjoinを実行。toggleとselectAllVisibleは同一のfunctional setter経路を使用し、表示外選択の維持、一括選択、個別解除後の状態およびAPI送信値をテストしている。
02,2,baseline,E,1,1,1,1,1,-1,1,1,True,False,False,selectedIdsだけを保持し、API形式をsubmit境界で導出。両操作はfunctional setterを共有し、一括選択では表示外選択を維持して重複を除去する。テストは選択結果、解除後の送信値、空選択時の外部契約を直接検証している。
02,2,refinetale,C,1,0,1,0,1,-1,1,0,False,False,True,選択状態の正本とAPI送信形式は維持しており、入力に表示外選択保持の契約はないためG1のcritical failureには当たらない。一方、selectAllは配列を直接置換し、toggleのfunctional更新と同じ状態更新経路を使わないため、G2・G4とfixture固有条件は満たさない。
02,3,baseline,A,1,1,1,1,1,-1,1,1,True,False,False,selectedIdsのみを正本とし、submit時にjoinでAPI形式を導出。toggleとselectAllVisibleはいずれも同じfunctional state更新を使い、表示外選択の維持・重複排除・個別解除後の選択結果と送信値を観測可能な形で検証している。
02,3,refinetale,B,1,1,1,1,1,-1,1,1,True,False,True,状態をselectedIdsへ一本化し、API文字列は送信時のみ生成。個別toggleと一括選択は同じfunctional setter経路を使う。テストは個別操作、一括選択、表示外選択の維持、重複排除、選択結果、送信値を直接確認している。
03,1,baseline,D,1,0,0,0,1,1,0,0,False,False,False,pushの外部挙動は具体化し、未要求の抽象化もないが、検証・本文生成・監査を共通経路へまとめず3チャネル間で共通処理を重複させる。必要な送信先・監査記録のテストも提示していない。
03,1,refinetale,A,1,1,1,1,1,1,1,1,True,False,True,検証・本文生成・送信・監査を単一経路に統合し、差分をclient・宛先・監査イベントに限定。email/smsの順序と失敗時挙動を維持し、各チャネルの送信先と監査記録を含む必要なテストを明示している。
03,2,baseline,B,1,1,1,1,1,1,0,0,False,False,False,実装は共通経路を持ち、差分と既存契約を適切に隔離している。テスト不能の報告は妥当だが、必要な検証ケース、特に各チャネルの観察可能な送信先と監査記録のテストを示していない。
03,2,refinetale,F,1,1,1,1,1,1,1,1,True,False,True,単一の共通経路に処理を統合し、実差分だけを引数化。email/smsの宛先・client・イベント・順序と失敗時の監査抑止を維持し、各チャネルの正しい宛先と監査イベントを含む最小検証を明示している。
03,3,baseline,E,1,1,1,1,1,1,0,0,False,False,False,3チャネル限定の共通関数で、分岐はclient・宛先に限定され、監査イベントもチャネルから既存形式で生成される。既存の処理順序も維持するが、必要な検証ケースや送信先・監査記録のテストを示していない。
03,3,refinetale,C,1,1,1,1,1,1,1,1,True,False,True,変更する挙動と維持する挙動を明記し、共通処理を単一経路へ集約。未要求の仕組みを追加せず、各チャネルのclient・宛先・監査イベントおよび各失敗段階と副作用順序の検証を具体化している。
