fixture,run,mode,judge_candidate,S1,S2,S3,S4,S5,total,outcome,critical_failure,verification_passed,skill_trace,manual_adjustment,adjustment_reason,evidence
01,1,baseline,B,2,1,2,2,2,9,pass,False,True,False,False,,優先順位、送信境界、従来APIと戻り値は正しく、テストも全件成功。ただし全intにmath.isfiniteを直接適用するため、極端に大きい正のintではfloat変換時にOverflowErrorとなり、本来有効なintを受理できない。通常の無効値は送信前にValueErrorで拒否する。
01,1,refinetale,F,2,1,2,2,2,9,pass,False,True,True,False,,優先順位、単一のtransport送信経路、path・timeoutの伝達、従来APIと戻り値は正しく、指定テストも全件成功。ただしmath.isfiniteをintにも直接適用するため、極端に大きい正のintでOverflowErrorとなり、有効なintを完全には受理できない。通常の無効値は送信前に拒否される。
01,2,baseline,D,2,2,2,2,2,10,pass,False,True,False,False,,request指定→Client指定→5.0を正しく解決。boolを除く正のintと正の有限floatだけを受理し、無効値を送信前にValueErrorとする。既存transport経路へ一度だけtimeoutを渡し、生成・呼出し・戻り値の契約を維持。既存の要件・回帰テスト4件はすべて成功。
01,2,refinetale,C,2,2,2,2,2,10,pass,False,True,True,False,,request値、Client値、既定値の解決が正しく、intは正値検査、floatは有限性も検査してbool・非数値・境界値を拒否する。transport.sendは一経路で一度だけ呼ばれ、pathとtimeoutおよび戻り値を維持。追加テストはNone、±無限大、NaN、非数値、送信抑止まで具体的に検証し全件成功。
01,3,baseline,E,2,2,2,2,2,10,pass,False,True,False,False,,3段階の優先順位を正しく実装し、bool・非数値・0以下・非有限floatを明示位置で拒否する。正のintと有限floatは受理され、解決値は単一のsend呼出しへキーワードで渡される。従来APIと戻り値に回帰はなく、要件・既存テストは全件成功。
01,3,refinetale,A,2,2,2,2,2,10,pass,False,True,True,False,,request値→Client値→5.0の優先順位を全経路で実装。bool、非数値、0以下、NaN、±無限大を送信前に拒否し、正のint/floatを受理する。既存send経路へpathとtimeoutを一度だけ渡し、戻り値と従来呼出しを維持。要件テストも拡充され、指定コマンドは4件すべて成功。
02,1,baseline,F,2,2,2,2,2,10,pass,False,True,False,False,,"実装はTemporaryFailureのみを指定回数まで再試行し、成功または非一時例外で直ちに終了する。max_attemptsはboolを除く正のintに送信前限定し、既存のdeliver(sender, message)も維持。成功・枯渇・例外・入力境界を扱う全5テストが成功し、重大失敗はない。"
02,1,refinetale,D,2,2,2,2,2,10,pass,False,True,True,False,,減算rangeにより境界値を含め合計max_attempts回だけ試行し、残り1回でのTemporaryFailureを再送出する。成功は即時return、その他の例外は即時伝播。厳密な送信前検証、既存公開契約、単一経路を満たし、全5テストが成功。
02,2,baseline,E,2,2,2,2,2,10,pass,False,True,False,False,,TemporaryFailure限定の再試行、上限到達時の再送出、成功時の即時returnが正しく実装されている。他例外は捕捉せず、bool・非int・非正値は送信前に拒否。既存2引数利用と単一送信経路を維持し、要件を網羅する5テストが終了コード0で成功。
02,2,refinetale,C,2,2,2,2,2,10,pass,False,True,True,False,,TemporaryFailureだけを正確に最大max_attempts回試行し、成功後の追加呼び出しや非一時例外の再試行はない。boolを明示拒否し、正のint以外を送信前にValueErrorとする。単一のdeliver経路で既存呼び出しを維持し、全5テストが成功。
