fixture,run,mode,judge_candidate,G1,G2,G3,G4,G5,G6,G7,fixture_specific,overall_pass,critical_failure,skill_trace,evidence
01,1,baseline,B,1,1,1,1,1,1,1,1,True,False,False,ApiRange/CsvRangeを変更せず、共通helperが日付変換、両検証、createBuckets呼び出しを一元所有する。両公開入口について開始・終了双方の不正日付と逆転範囲をテーブル駆動で検証し、実行不能の制約も明示している。
01,1,refinetale,F,1,1,1,1,1,1,1,1,True,False,True,外部フィールド名を維持し、境界で差異を吸収して日付解析、検証、bucket生成を一つのhelper経路にしている。両公開経路のinvalid date、invalid rangeと正常入力の同値結果を公開API経由で検証し、不要な型や分岐を追加していない。
01,2,baseline,D,0,0,0,0,1,0,1,0,False,True,False,環境上の制約と必要な検証項目は適切に特定しているが、提示済みコードに対する具体的なリファクタリング案もテスト案もない。したがって外部契約、検証、共通経路、公開経路テストの維持を確認できない。
01,2,refinetale,C,1,1,1,1,1,1,1,1,True,False,True,外部型を維持し、入力名の差だけを公開関数で位置引数へ変換して共通処理へ渡している。両公開経路のエラー契約を重複の少ないテストで確認し、既存正常系を残す方針と実行不能理由も示している。
01,3,baseline,E,1,1,1,1,1,1,1,1,True,False,False,外部型、エラー文言、検証順序、同日許可を明示的に維持し、共通helperへ処理を集約している。両公開経路で開始・終了双方の不正日付、逆転、同日、API/CSV同値結果を検証しており、内部helperの直接テストも増やしていない。
01,3,refinetale,A,1,1,1,1,1,1,1,1,True,False,True,外部フィールド名と戻り経路、エラー文言・検証順序を維持し、境界で位置引数へ写像して日付変換・検証・生成を単一helperに集約している。両公開経路の正常系、invalid date、invalid rangeを共有テーブルで検証している。
02,1,baseline,F,1,1,1,1,1,-1,0,0,False,False,False,状態の一本化と送信境界での導出自体は満たすが、送信テストは同じact内でtoggle直後にsubmitを呼んでいる。submitは再レンダー前のselectedIdsを閉包しているため期待値visible-2にならず、この提示テストは失敗する。さらに、一括入力内の重複IDはfilterでは除去できない。
02,1,refinetale,D,1,1,1,1,1,-1,1,1,True,False,True,唯一のstateと送信時導出を実装し、同期effectや追加booleanはない。テストは表示外選択を含む一括選択結果と、一括選択後のtoggleを反映したAPI送信値を確認している。
02,2,baseline,E,1,1,1,1,1,-1,1,1,True,False,False,selectedIdsだけを保持し、submitでjoinして既存のAPI契約を維持している。selectAllとtoggleはfunctional setterを共有し、連続操作、一括選択、個別解除、送信値を観測可能な結果としてテストしている。
02,2,refinetale,C,1,1,1,1,1,-1,1,1,True,False,True,選択状態をselectedIdsに一本化し、API形式をsubmitで導出している。表示外選択を維持する仕様も明示し、同一更新内のtoggle、一括選択結果、個別解除後の送信値を確認する具体的なテスト案がある。
